charaNum,talkingChara,talks,KeyWord
3,,そうそう、本の話を少し、しようと思います,
3,,私ね、“人が死なないミステリー”っていうのが好きなんです,
3,,小さい頃は、ミステリーっていえば“殺人事件”が当たり前だと思ってました。,
3,,“誰が、なぜ、どうやって”──そんなことばかり追いかけてた,
3,,でも、あるとき出会ったんです。,
3,,誰も死なないのに、ページをめくる手が止まらなくなる本に,
3,,事件の発端が、誰かの憎しみとか、どうしても許せない気持ちじゃなくて、,
3,,ただのすれ違いや、偶然の積み重ねだったりして。,
3,,それが、すごくリアルで──とても静かで、美しかった,
3,,物語の中で誰も命を落とさなくても、,
3,,人の心が動けば、それだけで充分“事件”になるんだなって,
3,,そういう本に出会ってから、,
3,,“物語”って、命を削ることじゃなくても、深く染みるんだなって思うようになって,
3,,……伝え方ひとつでこんなに変わるんだと思いました。その頃だったかな。,
3,,“言葉で何かを伝える仕事をしたい”って、ふと思ったのは,
3,,授業ごっこが好きで、,
3,,小さいノートに板書の真似事をして──空っぽの部屋で“せんせー”ってやって,
1,,（……？　それ、私もやってたような……）,
3,,たまに、自分で小説やポエムなんかも書いたりしちゃって,
3,,ちょっと恥ずかしいですね,
3,,そろそろ。お時間みたいですね,
3,,……じゃあ、今度は“甘い魔法”の番、でしょうか,
3,,ほら、また会いにいってあげて。あの子、きっと喜びますよ,
3,,バイバイ。,
