charaNum,talkingChara,talks,KeyWord
3,,聞こえますか？あ、きこえてそうですね。,
3,,どうも、初めまして。あなたと少しお話してみたかったんです。,
3,,国語の教師をしてます。,
3,,名前、ですか？そうですね.....せんせーとか、そんな曖昧な呼び方で構いません,
3,,こうして誰かと話すのは、久しぶりで、緊張しているかもしれません,
3,,でも、言葉を交わせるのはうれしいものです。,
3,,普段は、“聞かれるためじゃない言葉”ばかりを教えているので──,
3,,私はずっと、“言葉”というものに魅せられてきました,
3,,たとえば──星の光を表すにも、いろんな言葉がありますよね,星
3,,キラキラ、と光る。,
3,,ピカピカ、と瞬く。,
3,,チカチカ、ランラン……,
3,,同じ光を、いろんな音で、いろんな風に言い換えられる,
3,,“星が光ってる”だけじゃないんです。,
3,,そこには感情も、距離も、想いも、宿せる,
3,,オノマトペって、不思議ですよね。,
3,,耳で聞いた音なのに、心の中で色や質感に変わる,
3,,……綺麗なようで、どこか汚れていて。,
3,,優しいようで、ときどき鋭い。ノイズにもなる。,ノイズ
3,,言葉は、表現であると同時に、,
3,,武器にもなるからこそ、私はずっと、惹かれてきたんです,
3,,……あ、すみません。少し話しすぎました,
3,,お話する機会があったら本のお話をしようと思います,
3,,こうして言葉にすることで、私自身が整理されていく気がして。,
3,,教師とは、そういう生き物なのかもしれませんね,
3,,あ―、そういえばまたメイドがお話したいそうですよ。また、どこかで。バイバイ。,
